City_ID,City_ID,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
308,17,crane,31.3974,-102.3501,289.44,35,66,2.71,US,1706661779
309,18,kalmunai,7.4167,81.8167,297.28,92,10,2.79,LK,1706661493
310,19,callao,-12.0667,-77.15,299.31,69,100,4.63,PE,1706661779
311,20,shalqar,47.8333,59.6,266.11,95,100,6.6,KZ,1706661779
312,21,itacoatiara,-3.1431,-58.4442,298.15,92,94,1.52,BR,1706661780
313,22,wanxian,30.8039,108.3897,283.65,77,100,0.74,CN,1706661520
314,23,moussoro,13.6408,16.4901,292.02,19,0,7.48,TD,1706661780
315,24,burutu,5.3509,5.5076,299.53,85,86,2.05,NG,1706661780
316,25,kichmengskiy gorodok,59.9816,45.7854,268.12,95,6,3.13,RU,1706661780
317,26,whangarei,-35.7317,174.3239,301.69,45,31,1.58,NZ,1706661780
318,27,naze,28.3667,129.4833,291.66,77,95,8.08,JP,1706661729
319,28,afaahiti,-17.75,-149.2833,302.07,83,70,4.24,PF,1706661780
320,29,zeya,53.75,127.2667,248.49,91,100,0.51,RU,1706661780
321,30,fale old settlement,-9.3852,-171.2468,302.77,68,45,1.89,TK,1706661781
322,31,mananjary,-21.2167,48.3333,295.52,91,96,4.13,MG,1706661781
323,33,tura,25.5198,90.2201,286.25,53,0,1.32,IN,1706661781
324,34,punta arenas,-53.15,-70.9167,285.21,62,20,12.35,CL,1706661781
325,35,trinidad,-14.8333,-64.9,300.14,83,23,0.0,BO,1706661781
326,36,selfoss,63.9331,-20.9971,270.4,60,98,7.05,IS,1706661781
327,37,taltal,-25.4,-70.4833,295.09,78,19,2.56,CL,1706661781
328,38,port douglas,-16.4833,145.4667,305.21,65,100,0.84,AU,1706661781
329,39,mocimboa,-11.3167,40.35,296.61,94,100,2.29,MZ,1706661782
330,40,omaruru,-21.4333,15.9333,298.55,41,100,1.53,NA,1706661782
331,41,port macquarie,-31.4333,152.9167,300.31,69,76,3.79,AU,1706661782
332,42,bulawayo,-20.15,28.5833,290.63,66,1,4.31,ZW,1706661782
333,43,malibu,34.005,-118.8101,297.73,73,94,1.34,US,1706661782
334,44,akrehamn,59.2667,5.1833,276.71,93,100,5.66,NO,1706661782
335,45,chitose,42.8194,141.6522,272.65,85,75,1.03,JP,1706661783
336,46,collinsville,38.6703,-89.9846,277.88,81,100,6.69,US,1706661520
337,47,naha,26.2125,127.6811,296.53,78,40,7.2,JP,1706661573
338,48,mo i rana,66.3128,14.1428,275.55,92,100,0.0,NO,1706661783
339,49,yazd,31.8972,54.3675,279.21,49,40,4.12,IR,1706661783
340,1,port elizabeth,-33.918,25.5701,294.99,88,0,1.03,ZA,1706661784
341,2,krasnolesnyy,51.8807,39.5877,271.15,89,100,1.17,RU,1706661784
342,3,bhabhra,22.5333,74.3333,289.85,57,100,0.69,IN,1706661784
343,4,bengkulu,-3.8004,102.2655,298.74,86,100,1.44,ID,1706661784
